index,Equity(1 [XLK]),Equity(2 [XLF]),Equity(3 [XLE]),Equity(4 [XLB]),Equity(5 [XLY]),Equity(6 [XLP]),cash
2011-09-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1500.0,9529.1
2011-09-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1501.5,9529.1
2011-09-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1506.95,9529.1
2011-09-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1525.0,9529.1
2011-09-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1543.0,9529.1
2011-09-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1542.0,9529.1
2011-09-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1529.0,9529.1
2011-09-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1531.95,9529.1
2011-09-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1500.5,9529.1
2011-09-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1472.0,9529.1
2011-09-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1475.0,9529.1
2011-09-26 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1503.5,9529.1
2011-09-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1512.5,9529.1
2011-09-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1484.0,9529.1
2011-09-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1498.45,9529.1
2011-09-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1483.0,9529.1
2011-11-01 00:00:00+00:00,1264.5,0.0,0.0,0.0,1909.0,1525.0,6204.6
2011-11-02 00:00:00+00:00,1280.0,0.0,0.0,0.0,1928.5,1539.5,6204.6
2011-11-03 00:00:00+00:00,1310.45,0.0,0.0,0.0,1953.5,1558.5,6204.6
2011-11-04 00:00:00+00:00,1302.45,0.0,0.0,0.0,1945.95,1549.5,6204.6
2011-11-07 00:00:00+00:00,1310.45,0.0,0.0,0.0,1958.45,1562.5,6204.6
2011-11-08 00:00:00+00:00,1325.5,0.0,0.0,0.0,1977.45,1577.95,6204.6
2011-11-09 00:00:00+00:00,1279.5,0.0,0.0,0.0,1906.95,1541.0,6204.6
2011-11-10 00:00:00+00:00,1283.5,0.0,0.0,0.0,1925.0,1556.0,6204.6
2011-11-11 00:00:00+00:00,1308.0,0.0,0.0,0.0,1973.5,1574.0,6204.6
2011-11-14 00:00:00+00:00,1297.95,0.0,0.0,0.0,1959.0,1560.45,6204.6
2011-11-15 00:00:00+00:00,1315.45,0.0,0.0,0.0,1966.0,1568.0,6204.6
2011-11-16 00:00:00+00:00,1296.0,0.0,0.0,0.0,1929.0,1554.0,6204.6
2011-11-17 00:00:00+00:00,1271.0,0.0,0.0,0.0,1895.0,1548.45,6204.6
2011-11-18 00:00:00+00:00,1260.45,0.0,0.0,0.0,1894.0,1552.95,6204.6
2011-11-21 00:00:00+00:00,1238.5,0.0,0.0,0.0,1864.5,1527.95,6204.6
2011-11-22 00:00:00+00:00,1236.5,0.0,0.0,0.0,1863.5,1529.5,6204.6
2011-11-23 00:00:00+00:00,1206.95,0.0,0.0,0.0,1826.45,1513.0,6204.6
2011-11-25 00:00:00+00:00,1200.5,0.0,0.0,0.0,1816.5,1518.5,6204.6
2011-11-28 00:00:00+00:00,1239.95,0.0,0.0,0.0,1871.95,1542.5,6204.6
2011-11-29 00:00:00+00:00,1233.5,0.0,0.0,0.0,1878.5,1558.5,6204.6
