,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2014-10-01 20:00:00+00:00,-50,,2014-10-01 20:00:00+00:00,e7d84639e5714d85a7d0fab3b3557f67,90.62,Equity(3 [XLE]),Equity(3 [XLE]),4531.0
2015-01-02 21:00:00+00:00,-50,,2015-01-02 21:00:00+00:00,dfa8f3ae2f774e3db346907557182169,48.58,Equity(4 [XLB]),Equity(4 [XLB]),2429.0
2015-02-02 21:00:00+00:00,-50,,2015-02-02 21:00:00+00:00,7c795b23f57146bf9aaf06b59354ddec,23.009,Equity(2 [XLF]),Equity(2 [XLF]),1150.45
2015-03-02 21:00:00+00:00,50,,2015-03-02 21:00:00+00:00,432b83e5a50044b289b7979a0419adba,24.349,Equity(2 [XLF]),Equity(2 [XLF]),-1217.45
2015-03-02 21:00:00+00:00,50,,2015-03-02 21:00:00+00:00,4bce777a9d81498ea5656a240b55b964,51.49,Equity(4 [XLB]),Equity(4 [XLB]),-2574.5
2015-04-01 20:00:00+00:00,-50,,2015-04-01 20:00:00+00:00,6e545d5fd7974ed09aac9d4d2c27adb8,48.779,Equity(4 [XLB]),Equity(4 [XLB]),2438.95
2015-05-01 20:00:00+00:00,50,,2015-05-01 20:00:00+00:00,30f592ce432c48aeaf90351a73c6220d,50.419,Equity(4 [XLB]),Equity(4 [XLB]),-2520.95
2015-07-01 20:00:00+00:00,-50,,2015-07-01 20:00:00+00:00,9e90c128a35f4ddeb5d5c8ebcef23054,41.4,Equity(1 [XLK]),Equity(1 [XLK]),2070.0
2015-07-01 20:00:00+00:00,-50,,2015-07-01 20:00:00+00:00,93a7dd190e384cd5bcb1a41cf64d4ddf,48.389,Equity(4 [XLB]),Equity(4 [XLB]),2419.45
2015-07-01 20:00:00+00:00,-50,,2015-07-01 20:00:00+00:00,68312b4a28af49a89bb35c1d155f5d85,47.599,Equity(6 [XLP]),Equity(6 [XLP]),2379.95
2015-08-03 20:00:00+00:00,50,,2015-08-03 20:00:00+00:00,72728a0b496c465c86505e30b51f4df1,42.58,Equity(1 [XLK]),Equity(1 [XLK]),-2129.0
2015-08-03 20:00:00+00:00,50,,2015-08-03 20:00:00+00:00,69a69845923041469b468c4349748bd3,50.31,Equity(6 [XLP]),Equity(6 [XLP]),-2515.5
2015-09-01 20:00:00+00:00,-50,,2015-09-01 20:00:00+00:00,766cff437b57447d9d190e2e9baa3b0a,40.23,Equity(1 [XLK]),Equity(1 [XLK]),2011.5
2015-09-01 20:00:00+00:00,-50,,2015-09-01 20:00:00+00:00,dc0e70a423a54e09a65c16e8c7ded046,23.429,Equity(2 [XLF]),Equity(2 [XLF]),1171.45
2015-09-01 20:00:00+00:00,-50,,2015-09-01 20:00:00+00:00,5deda0015c1045a7bd827ff82ab806ef,47.31,Equity(6 [XLP]),Equity(6 [XLP]),2365.5
2015-10-01 20:00:00+00:00,-50,,2015-10-01 20:00:00+00:00,18aa1065e5a146b9ae2db2672e72bda2,74.26,Equity(5 [XLY]),Equity(5 [XLY]),3713.0
2015-11-02 21:00:00+00:00,50,,2015-11-02 21:00:00+00:00,280e9d82ba2549e79b0bbeafaaa5ed48,43.65,Equity(1 [XLK]),Equity(1 [XLK]),-2182.5
2015-11-02 21:00:00+00:00,50,,2015-11-02 21:00:00+00:00,ec76e785eb3044baa4038a3c7592cc42,24.08,Equity(2 [XLF]),Equity(2 [XLF]),-1204.0
2015-11-02 21:00:00+00:00,50,,2015-11-02 21:00:00+00:00,653761b8fca44395b4aa6db86214e1f1,80.97,Equity(5 [XLY]),Equity(5 [XLY]),-4048.5
2015-11-02 21:00:00+00:00,50,,2015-11-02 21:00:00+00:00,bc28763bcc644701b00e25e9a6d4a1ab,49.88,Equity(6 [XLP]),Equity(6 [XLP]),-2494.0
2016-01-04 21:00:00+00:00,-50,,2016-01-04 21:00:00+00:00,e3b263ebc85e41b887b611f7b5b0deec,23.83,Equity(2 [XLF]),Equity(2 [XLF]),1191.5
2016-02-01 21:00:00+00:00,-50,,2016-02-01 21:00:00+00:00,c31fc1cad7334988a2f5c565b32c01fa,41.24,Equity(1 [XLK]),Equity(1 [XLK]),2062.0
2016-02-01 21:00:00+00:00,-50,,2016-02-01 21:00:00+00:00,caae4d40c54b4d908bd9d899e6c0c6a3,74.11,Equity(5 [XLY]),Equity(5 [XLY]),3705.5
2016-04-01 20:00:00+00:00,50,,2016-04-01 20:00:00+00:00,81f73910d7f3423181e7692cf08c2d8c,44.36,Equity(1 [XLK]),Equity(1 [XLK]),-2218.0
2016-04-01 20:00:00+00:00,50,,2016-04-01 20:00:00+00:00,d73837330dcf4d0889645b5341099c10,44.81,Equity(4 [XLB]),Equity(4 [XLB]),-2240.5
2016-04-01 20:00:00+00:00,50,,2016-04-01 20:00:00+00:00,de135bd5c028445fb8dc5157d8c32242,79.099,Equity(5 [XLY]),Equity(5 [XLY]),-3954.95
2016-05-02 20:00:00+00:00,-50,,2016-05-02 20:00:00+00:00,8020995e86d7492b9ab2a07b7575a650,42.13,Equity(1 [XLK]),Equity(1 [XLK]),2106.5
2016-05-02 20:00:00+00:00,50,,2016-05-02 20:00:00+00:00,c2c5332c2d914e6a9da3fcbedf9054ca,23.309,Equity(2 [XLF]),Equity(2 [XLF]),-1165.45
